Jurisdiction,County,HE Compliance,HE Due Date,HE Status details,Adoption Date,COG,6th Cycle Draft,HCD Review Letter,Review Date,Population (2010),Median Income
SIMI VALLEY,Ventura County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.simivalley.org/home/showpublisheddocument/24082/637582249710100000,LanSouthElMonteAdoptedOut012122.pdf,,124237,"$99,151"
VENTURA COUNTY UNINCORPORATED,Ventura County,IN,10/15/2021,Adopted & Reviewed,,SCAG,"https://docs.vcrma.org/images/pdf/planning/plans/Draft-Housing-Element_March-Draft_HCD-Submittal-6.pdf, https://docs.vcrma.org/images/pdf/planning/plans/Draft-Housing-Element-June-draft.pdf",,,,$0
LATHROP,Lassen County,IN,"10/15/2021, 12/15/2023",Adopted & Reviewed,,SJCOG,,,,18023,"$85,805"
ARROYO GRANDE,San Luis Obispo County,IN,12/31/2020,Adopted & Reviewed,,SLOCOG,,,,17252,"$80,833"
ATASCADERO,San Luis Obispo County,IN,12/31/2020,Adopted & Reviewed,,SLOCOG,,,,28310,"$79,658"
GROVER BEACH,San Luis Obispo County,IN,12/31/2020,Adopted & Reviewed,,SLOCOG,,,,13156,"$64,217"
MORRO BAY,San Luis Obispo County,IN,12/31/2020,Adopted & Reviewed,,SLOCOG,,,,10234,"$68,262"
PASO ROBLES,San Luis Obispo County,IN,12/31/2020,Adopted & Reviewed,,SLOCOG,,,,29793,"$62,601"
PISMO BEACH,San Luis Obispo County,IN,12/31/2020,Adopted & Reviewed,,SLOCOG,,,,7655,"$84,484"
SAN LUIS OBISPO,San Luis Obispo County,IN,12/31/2020,Adopted & Reviewed,,SLOCOG,,,,45119,"$56,071"
SAN LUIS OBISPO COUNTY UNINCORPORATED,San Luis Obispo County,IN,12/31/2020,Adopted & Reviewed,,SLOCOG,,,,,
