,Project Type,Project Name,Association Name,City,Zip,County,ID
3605,CONDOMINIUM,YACHT & RACQUET CLUB OF BOCA RATON CONDOMINIUM ASSOCIATION I,YACHT & RACQUET CLUB OF BOCA RATON CONDOMINIUM ASSOCIATION I,BOCA RATON,33431,PALM BEACH,281328
3606,CONDOMINIUM,YACHT & RACQUET CLUB OF BOCA RATON CONDOMINIUM F,YACHT & RACQUET CLUB OF BOCA RATON CONDOMINIUM F,BOCA RATON,33431,PALM BEACH,281320
3607,CONDOMINIUM,"VILLA BILTMORE CONDOMINIUM ASSOCIATION, INC","VILLA BILTMORE CONDOMINIUM ASSOCIATION, INC",CORAL GABLES,33431,MIAMI-DADE,322061
3608,CONDOMINIUM,2025 SIRS,"MERIDIAN AT ONE NORTH OCEAN CONDOMINIUM ASSOCIATION, INC.",BOCA RATON,33432,PALM BEACH,232049
3609,CONDOMINIUM,"ALINA 200 BOCA RATON CONDOMINIUM ASSOCIATION, INC",ALINA BOCA RATON CONDOMINIUM ASSOCIATION,BOCA RATON,33432,PALM BEACH,226717
3610,CONDOMINIUM,"ALINA 200 BOCA RATON CONDOMINIUM ASSOCIATION, INC",ALINA BOCA RATON CONDOMINIUM ASSOCIATION,BOCA RATON,33432,PALM BEACH,226734
3611,CONDOMINIUM,ARAGON CONDO,"ARAGON CONDOMINIUM ASSOCIATION OF BOCA RATON, INC.",BOCA RATON,33432,PALM BEACH,215641
3612,CONDOMINIUM,ARAGON CONDO,"ARAGON CONDOMINIUM ASSOCIATION OF BOCA RATON, INC.",BOCA RATON,33432,PALM BEACH,216086
3613,CONDOMINIUM,BOCA GOLFVIEW CONDOMINIUM,"BOCA GOLFVIEW CONDOMINIUM, INC.",BOCA RATON,33432,PALM BEACH,309014
3614,CONDOMINIUM,BOCA ROYAL CONDO APT. CONDO B,BOCA ROYAL CONDO APT. CONDO B,BOCA RATON,33432,PALM BEACH,286603
3615,CONDOMINIUM,CLOISTER BEACH TOWERS,CLOISTER BEACH TOWERS,BOCA RATON,33432,PALM BEACH,239896
3616,CONDOMINIUM,CONCRETE RESTORATION PROJECT,"THREE THOUSAND SOUTH ASSOCIATION, INC.",BOCA RATON,33432,PALM BEACH,202586
3617,CONDOMINIUM,ESPLANADE CONDO,THE ESPLANADE CONDO,BOCA RATON,33432,PALM BEACH,240239
3618,CONDOMINIUM,ESPLANADE CONDOMINIUM,ESPLANADE CONDOMINIUM ASSOCIATION,BOCA RATON,33432,PALM BEACH,248910
3619,CONDOMINIUM,FAIRCONDO,FAIRCONDO,BOCA RATON,33432,PALM BEACH,239035
3620,CONDOMINIUM,LUXURIA CONDO,LUXURIA CONDOMINIUM ASSOCIATION,BOCA RATON,33432,PALM BEACH,284800
3621,CONDOMINIUM,MAYFAIR CONDOMINIUM,MAYFAIR OF BOCA RATON,BOCA RATON,33432,PALM BEACH,236100
3622,CONDOMINIUM,MIZNER TOWER CONDO,MIZNER TOWER CONDOMINIUM ASSOCIATION,BOCA RATON,33432,PALM BEACH,219703
3623,CONDOMINIUM,OCEAN RESIDENCES AT BOCA BEACH CLUB CONDOMINIUM,OCEAN RESIDENCES AT BOCA BEACH CLUB CONDOMINIUM ASSOCIATION,BOCA RATON,33432,PALM BEACH,231975
3624,CONDOMINIUM,PLACIDE THE,"PLACIDE CONDO ASSOC., INC.",BOCA RATON,33432,PALM BEACH,292795
3625,CONDOMINIUM,"PRESIDENTIAL PLACE CONDOMINIUM ASSOCIATION, INC",PRESIDENTIAL PLACE CONDO ASSOCIATION,BOCA RATON,33432,PALM BEACH,285312
3626,CONDOMINIUM,ROYAL PALM RESIDENCES CONDOMINIUM ASSOCIATION INC,ROYAL PALM RESIDENCES CONDOMINIUM ASSOCIATION INC,BOCA RATON,33432,PALM BEACH,228162
3627,CONDOMINIUM,STARLITE CONDOMINIUM,"STARLITE CONDOMINIUM ASSOCIATION, INC.",BOCA RATON,33432,PALM BEACH,240352
3628,CONDOMINIUM,STRATFORD ARMS,"STRATFORD ARMS CONDOMINIUM ASSOCIATION, INC.",BOCA RATON,33432,PALM BEACH,289111
3630,CONDOMINIUM,THE BERESFORD CONDO,THE BERESFORD CONDOMINIUM ASSOCIATION,BOCA RATON,33432,PALM BEACH,276801
3631,CONDOMINIUM,"THE CARLTON BOCA RATON CONDOMINIUM ASSOCIATION, INC.",THE CARLTON CONDO ASSOC,BOCA RATON,33432,PALM BEACH,303818
3632,CONDOMINIUM,TIERRA DEL MAR SOUTH CONDO ASSN INC,TIERRA DEL MAR SOUTH CONDOMINIUM INC,BOCA RATON,33432,PALM BEACH,250152
3633,CONDOMINIUM,TOWER 155 CONDO,TOWER 155 CONDOMINIUM ASSOCIATION,BOCA RATON,33432,PALM BEACH,229955
3634,CONDOMINIUM,BOCA GRAND CONDOMINIUM,BOCA GRAND CONDOMINIUM,SUITE 101,33432,PALM BEACH,243078
3635,CONDOMINIUM,"CAMINO REAL VILLAGE I, A CONDO","CAMINO REAL VILLAGE ASSOCIATION, INC",BOCA RATON,33433,PALM BEACH,238832
3636,CONDOMINIUM,"CAMINO REAL VILLAGE II, A CONDO","CAMINO REAL VILLAGE ASSOCIATION, INC",BOCA RATON,33433,PALM BEACH,238835
3637,CONDOMINIUM,CAMINO REAL VILLAGE III,"CAMINO REAL VILLAGE ASSOCIATION, INC",BOCA RATON,33433,PALM BEACH,238839
3638,CONDOMINIUM,CAMINO REAL VILLAGE IV,"CAMINO REAL VILLAGE ASSOCIATION, INC",BOCA RATON,33433,PALM BEACH,238842
3639,CONDOMINIUM,"CAMINO REAL VILLAGE V, A CONDO","CAMINO REAL VILLAGE ASSOCIATION, INC",BOCA RATON,33433,PALM BEACH,238845
3640,CONDOMINIUM,"CAMINO REAL VILLAGE VI, A CONDO","CAMINO REAL VILLAGE ASSOCIATION, INC",BOCA RATON,33433,PALM BEACH,238849
3641,CONDOMINIUM,CLUB ROYALE A CONDO,CLUB ROYALE CONDOMINIUM ASSOCIATION,BOCA RATON,33433,PALM BEACH,287523
3642,CONDOMINIUM,IMPERIAL AT PROMENADE CONDO ASSOCIATION,IMPERIAL AT PROMENADE CONDO ASSOCIATION,BOCA RATON,33433,PALM BEACH,239413
3643,CONDOMINIUM,LA RESIDENCE OF BOCA DEL MAR CONDO SIRS REPORT,"LA RESIDENCE OF BOCA DEL MAR CONDOMINIUM ASSOCIATION, INC.",BOCA RATON,33433,PALM BEACH,235588
3644,CONDOMINIUM,WHITEHALL CONDOMINIUMS AT CAMINO REAL ASSOCIATION INC,WHITEHALL CONDOMINIUMS AT CAMINO REAL ASSOCIATION INC,BOCA RATON,33433,PALM BEACH,233921
3661,CONDOMINIUM,WINDSONG AT BOCA DEL MAR CONDOMINIUM ASSOCIATION INC.,WINDSONG AT BOCA DEL MAR CONDOMINIUM ASSOCIATION INC.,BOCA RATON,33433,PALM BEACH,286683
3662,CONDOMINIUM,STRUCTURAL INTEGRITY RESERVES STUDY REPORTING,THE CHATEAU AT BOCA GROVE,"BOCA RATON, FL",33433,PALM BEACH,247122
3663,CONDOMINIUM,BRIDGEWOOD MIDRISE I CONDO,BRIDGEWOOD MIDRISE I CONDO,BOCA RATON,33434,PALM BEACH,250257
3664,CONDOMINIUM,BRIDGEWOOD MIDRISE II CONDO,BRIDGEWOOD MIDRISE II CONDO,BOCA RATON,33434,PALM BEACH,250254
3665,CONDOMINIUM,BRIDGEWOOD TOWNHOUSE I CONDO,BRIDGEWOOD TOWNHOUSE I CONDO,BOCA RATON,33434,PALM BEACH,250261
3666,CONDOMINIUM,BRIDGEWOOD TOWNHOUSE II CONDO,BRIDGEWOOD TOWNHOUSE II CONDO,BOCA RATON,33434,PALM BEACH,250274
3667,CONDOMINIUM,BRIDGEWOOD TOWNHOUSE III CONDO,BRIDGEWOOD TOWNHOUSE III CONDO,BOCA RATON,33434,PALM BEACH,250291
3668,CONDOMINIUM,LAUREL OAKS 400,LAURL OAKS 400 CONDOMINIUM ASSOCIATION,BOCA RATON,33434,PALM BEACH,306679
3670,CONDOMINIUM,"SABAL LAKE WEST OF BOCA WEST CONDOMINIUM ASSOCIAITON, INC","SABAL LAKE WEST OF BOCA WEST CONDOMINIUM ASSOCIATION, INC",BOCA RATON,33434,PALM BEACH,290874
3673,CONDOMINIUM,SIRS,DEBBIE HARRIS,BOCA RATON,33434,PALM BEACH,290228
3674,CONDOMINIUM,SIRS,DEBBIE HARRIS,BOCA RATON,33434,PALM BEACH,290255
3675,CONDOMINIUM,SIRS,EXETER AT CENTURY VILLAGE,BOCA RATON,33434,PALM BEACH,290204
3677,CONDOMINIUM,SIRS,FANSHAW AT CENTURY VILLAGE,BOCA RATON,33434,PALM BEACH,290211
3678,CONDOMINIUM,SIRS,GUILDFORD AT CENTURY VILLAGE,BOCA RATON,33434,PALM BEACH,290217
3679,CONDOMINIUM,SIRS,HYTHE AT CENTURY VILLAGE,BOCA RATON,33434,PALM BEACH,290219
3680,CONDOMINIUM,SIRS,"LINCOLN AT CENTURY VILLAGE CONDOMINIUM ASSOCIATION, INC",BOCA RATON,33434,PALM BEACH,290223
3681,CONDOMINIUM,SIRS,PRESTON AT CENTURY VILLAGE,BOCA RATON,33434,PALM BEACH,290233
3682,CONDOMINIUM,SIRS,REXFORD AT CENTURY VILLAGE,BOCA RATON,33434,PALM BEACH,290245
3683,CONDOMINIUM,SIRS,SUFFOLK AT CENTURY VILLAGE,BOCA RATON,33434,PALM BEACH,290249
3684,CONDOMINIUM,SIRS,YARMOUTH AT CENTURY VILLAGE,BOCA RATON,33434,PALM BEACH,290261
3685,CONDOMINIUM,SIRS STUDY,AKOYA AT BOCA WEST CONDOMINIUM ASSOCIATION,BOCA RATON,33434,PALM BEACH,201915
3686,CONDOMINIUM,SIRS STUDY,FAIRWAY POINT CONDOMINIUM ASSOCIATION INC,BOCA RATON,33434,PALM BEACH,255501
3687,CONDOMINIUM,WILLOW WOOD II,WILLOW WOOD II,BOCA RATON,33434,PALM BEACH,293369
3688,CONDOMINIUM,WILLOW WOOD II SIRS,WILLOW WOOD II,BOCA RATON,33434,PALM BEACH,293375
3689,CONDOMINIUM,WILLOW WOOD III,WILLOW WOOD III,BOCA RATON,33434,PALM BEACH,293376
3690,CONDOMINIUM,WILLOW WOOD III,WILLOW WOOD III,BOCA RATON,33434,PALM BEACH,293382
3691,CONDOMINIUM,WILLOW WOOD III,WILLOW WOOD III SIRS,BOCA RATON,33434,PALM BEACH,293379
3692,CONDOMINIUM,COLONIAL CLUB 1,COLONIAL CLUB CONDOMINIUM SECTION 11,BOYNTON BEACH,33435,PALM BEACH,251124
3695,CONDOMINIUM,CONDOMINIUM PROJECT,CASA COSTA CONDOMINIUM ASSOCIATION,BOYNTON BEACH,33435,PALM BEACH,287694
3696,CONDOMINIUM,HARBOUR HALL CONDO,"HARBOUR HALL CONDOMINIUM ASSOCIATION, INC.",BOYNTON BEACH,33435,PALM BEACH,306796
3697,CONDOMINIUM,PENINSULA ON THE INTRACOASTAL,PENINSULA ON THE INTRACOASTAL,BOYNTON BEACH,33435,PALM BEACH,259583
3698,CONDOMINIUM,ROSEVIEW GARDEN CONDOMINIUM ASSN,ROSEVIEW GARDEN CONDOMINIUM ASSOCIATION INC,BOYNTON BEACH,33435,PALM BEACH,245715
3699,CONDOMINIUM,SIRS,VILLAGE ROYALE EMERALD GREEN,BOYNTON BEACH,33435,PALM BEACH,227116
3700,CONDOMINIUM,SIRS RESERVE STUDY,VILLAGE ROYALE GREENWOOD,BOYNTON BEACH,33435,PALM BEACH,236586
3701,CONDOMINIUM,STERLING VILLAGE CONDO,STERLING VILLAGE,BOYNTON BEACH,33435,PALM BEACH,234619
3702,CONDOMINIUM,"TUSCANY ON THE INTRACOASTAL, A CONDO","TUSCANY ON THE INTRACOASTAL CONDO ASSN, INC",BOYNTON BEACH,33435,PALM BEACH,287798
3703,CONDOMINIUM,VILLAGE ROYALE GREENBRIAR CONDOMINIUM,VRGREENBRIAR CONDOMINIUM ASSOCIATION INC.,BOYNTON BEACH,33435,PALM BEACH,240912
3704,CONDOMINIUM,VILLAGE ROYALE GREENDALE SIRS,"VILLAGE ROYALE GREENDALE ASSOCIATION, INC.",BOYNTON BEACH,33435,PALM BEACH,236904
3706,CONDOMINIUM,SIRS REPERT,"OCEAN PARK MANOR CONDOMINIUM ,INC.",OCEAN RIDGE,33435,PALM BEACH,239839
3707,CONDOMINIUM,"EXCELLENTE VILLAGE B, A CONDO","EXCELLENTE VILLAGE CONDOMINIUM ASSOCIATION, INC.",BOYNTON BEACH,33437,PALM BEACH,234718
3708,CONDOMINIUM,"GIARDINO VILLAGE C, A CONDO",GIARDINO VILLAGE CONDO ASSOC INC,BOYNTON BEACH,33437,PALM BEACH,249695
3709,CONDOMINIUM,"GIARDINO VILLAGE D, A CONDO",_,BOYNTON BEACH,33437,PALM BEACH,249690
3710,CONDOMINIUM,GIARDINO VILLAGE SIRS,"GIARDINO VILLAGE CONDOMINIUM ASSOCIATION, INC.",BOYNTON BEACH,33437,PALM BEACH,240420
3711,CONDOMINIUM,GREEN CAY VILLAGE CONDO,"GREEN CAY VILLAGE CONDO ASSOCIATION, INC",BOYNTON BEACH,33437,PALM BEACH,240829
3712,CONDOMINIUM,"ILLUSTRE VILLAGE B, A CONDO",ILLUSTRE VILLAGE CONDO ASSN INC,BOYNTON BEACH,33437,PALM BEACH,249389
3713,CONDOMINIUM,"ILLUSTRE VILLAGE B, A CONDO",ILLUSTRE VILLAGE CONDO ASSN INC,BOYNTON BEACH,33437,PALM BEACH,250389
3714,CONDOMINIUM,"ILLUSTRE VILLAGE D, A CONDO",ILLUSTRE VILLAGE CONDO ASSN INC,BOYNTON BEACH,33437,PALM BEACH,248882
3715,CONDOMINIUM,LAKESIDE CONDO NO. 5 OF BANYAN SPRINGS,"LAKESIDE CONDOMINIUM ASSOCIATION #5, INC.",BOYNTON BEACH,33437,PALM BEACH,298363
3716,CONDOMINIUM,LAKESIDE CONDOMINIUM ASSOCIATION #9,LAKESIDE CONDOMINIUM ASSOCIATION #9,BOYNTON BEACH,33437,PALM BEACH,294203
3717,COOPERATIVE,THE COVE BEACH CLUB,THE COVE BEACH CLUB,DEERFIELD BEACH,33441,BROWARD,226092
3718,COOPERATIVE,THE COVE BEACH CLUB,THE COVE BEACH CLUB INC.,DEERFIELD BEACH,33441,BROWARD,242910
3719,CONDOMINIUM,AURORA GARDENS CONDO,AURORA GARDENS,DEERFIELD BEACH,33441,BROWARD,248916
3720,CONDOMINIUM,BEACH HOUSE CONDO,BEACH HOUSE VILLAGE ASSOCIATION,DEERFIELD BEACH,33441,BROWARD,236456
3721,CONDOMINIUM,CONDO PROJECT,PORTO FINO GARDENS,DEERFIELD BEACH,33441,BROWARD,251382
3722,CONDOMINIUM,CONDOMINIUM PROJECT,NATURA CONDOMINIUM NO. 4 ASSOCIATION INC,DEERFIELD BEACH,33441,BROWARD,316881
3723,CONDOMINIUM,"DEERFIELD BEACH GARDENS CONDOMINIUM ASSOCIATION, INC.","DEERFIELD BEACH GARDENS CONDOMINIUM ASSOCIATION, INC.",DEERFIELD BEACH,33441,BROWARD,233060
3724,CONDOMINIUM,DEERFIELD BEACH HOUSE CONDO,DEERFIELD BEACH HOUSE CONDOMINIUM ASSOCIATION INC,DEERFIELD BEACH,33441,BROWARD,261302
3725,CONDOMINIUM,HILLSBORO LANDINGS #1 ASSOCIATION,HILLSBORO LANDINGS #1 ASSOCIATION,DEERFIELD BEACH,33441,BROWARD,239324
3726,CONDOMINIUM,HILLSBORO LANDINGS #2 ASSOCIATION,HILLSBORO LANDINGS #2 ASSOCIATION,DEERFIELD BEACH,33441,BROWARD,239375
3727,CONDOMINIUM,ISLAND POINT CONDOMINIUM ASSOCIATION INC,"ISLAND POINT CONDOMINIUM ASSOCIATION, INC",DEERFIELD BEACH,33441,BROWARD,237885
3728,CONDOMINIUM,LACOTE CONDO,LA COTE CONDOMINIUM ASSOCIATION INC,DEERFIELD BEACH,33441,BROWARD,250259
3729,CONDOMINIUM,MASSACHUSETTS CONDOMINIUM,MASSACHUSETTS CONDOMINIUM,DEERFIELD BEACH,33441,BROWARD,237747
3730,CONDOMINIUM,OCEAN HARBOR,OCEAN HARBOR ASSN,DEERFIELD BEACH,33441,BROWARD,245652
3731,CONDOMINIUM,OCEAN PLAZA ON DEERFIELD BEACH CONDOMINIUM ASSOCIATION INC,OCEAN PLAZA ON DEERFIELD BEACH CONDOMINIUM ASSOCIATION INC,DEERFIELD BEACH,33441,PALM BEACH,211166
3732,CONDOMINIUM,PENNSYLVANNIA,"THE PENNSYLVANIA CONDOMINIUM ASSOCIATION, INC.",DEERFIELD BEACH,33441,BROWARD,292905
3733,CONDOMINIUM,"RIVER HOUSE TERRACE, A CONDO","RIVER HOUSE TERRACE, A CONDO",DEERFIELD BEACH,33441,BROWARD,261422
3735,CONDOMINIUM,SIRS,"PENTHOUSE NORTH ASSOCIATION, INC.",DEERFIELD BEACH,33441,BROWARD,221317
3736,CONDOMINIUM,SIRS REPORT,1 OCEAN BOULEVARD CONDO ASSN.,DEERFIELD BEACH,33441,BROWARD,218028
3737,CONDOMINIUM,THE PENTHOUSE CONDO,THE PENTHOUSE CONDOMINIUM ASSOCIATION,DEERFIELD BEACH,33441,BROWARD,289613
3738,CONDOMINIUM,TIARA EAST CONDOMINIUM ASSOCIATION,TIARA EAST CONDO,DEERFIELD BEACH,33441,BROWARD,242828
3740,CONDOMINIUM,ASHBY A CONDOMINIUM,"ASHBY A CONDOMINIUM ASSOCIATION, INC",DEERFIELD BEACH,33442,BROWARD,248505
3741,CONDOMINIUM,"ASHBY A CONDOMINIUM ASSOCIATION, INC.",ASHBY A CONDOMINIUM ASSOCIATION INC.,DEERFIELD BEACH,33442,BROWARD,239159
3742,CONDOMINIUM,ASHBY D CONDOMINIUM ASSOCIATION,"ASHBY D CONDOMINIUM ASSOCIATION, INC.",DEERFIELD BEACH,33442,BROWARD,248370
3743,CONDOMINIUM,"ASHBY D CONDOMINIUM ASSOCIATION, INC.","ASHBY D CONDOMINIUM ASSOCIATION, INC.",DEERFIELD BEACH,33442,BROWARD,239175
3744,CONDOMINIUM,BERKSHIRE B,BERKSHIRE B CONDO ASSN INC CENTURY VILLAGE,DEERFIELD BEACH,33442,BROWARD,249963
3745,CONDOMINIUM,BERKSHIRE B CONDO ASSN,BERKSHIRE B CONDO ASSN,DEERFIELD BEACH,33442,BROWARD,248504
3746,CONDOMINIUM,BERKSHIRE B CONDOMINIUM ASSOCIATION,BERKSHIRE B CONDOMINIUM ASSOCIATION,DEERFIELD BEACH,33442,BROWARD,239657
3747,CONDOMINIUM,BERKSHIRE C CONDOMINIUM ASSOCIATION,"BERKSHIRE C CONDOMINIUM ASSOCIATION, INC.",DEERFIELD BEACH,33442,BROWARD,237387
3748,CONDOMINIUM,BERKSHIRE C CONDOMINIUM ASSOCIATION INC.,BERKSHIRE C CONDOMINIUM ASSOCIATION,DEERFIELD BEACH,33442,BROWARD,251416
3749,CONDOMINIUM,BERKSHIRE D CONDOMINIUM,BERKSHIRE D CONDOMINIUM ASSOCIATION,DEERFIELD BEACH,33442,BROWARD,253110
3750,CONDOMINIUM,BERKSHIRE D CONDOMINIUM ASSOCIATION,BERKSHIRE D CONDOMINIUM ASSOCIATION,DEERFIELD BEACH,33442,BROWARD,248399
3751,CONDOMINIUM,"BERKSHIRE D CONDOMINIUM ASSOCIATION, INC.","BERKSHIRE D CONDOMINIUM ASSOCIATION , INC.",DEERFIELD BEACH,33442,BROWARD,239485
3752,CONDOMINIUM,"BERKSHIRE E CONDOMINIUM ASSOCIATION, INC.","BERKSHIRE E CONDOMINIUM ASSOCIATION, INC.",DEERFIELD BEACH,33442,BROWARD,238429
3753,CONDOMINIUM,"BERKSHIRE E CONDOMINIUM ASSOCIATION, INC.","BERKSHIRE E. CONDOMINIUM ASSOCIATION, INC",DEERFIELD BEACH,33442,BROWARD,250415
3754,CONDOMINIUM,CAMBRIDGE B CONDOMINIUM,CAMBRIDGE B CONDOMINIUM ASSOCIATION,DEERFIELD BEACH,33442,BROWARD,250266
3755,CONDOMINIUM,CAMBRIDGE B CONDOMINIUM ASSOCIATION,"CAMBRIDGE B COMDOMINIUM ASSOCIATION, INC.",DEERFIELD BEACH,33442,BROWARD,237309
3756,CONDOMINIUM,CAMBRIDGE B CONDOMINIUM ASSOCIATION,CAMBRIDGE B CONDOMINIUM ASSOCIATION,DEERFIELD BEACH,33442,BROWARD,249612
3757,CONDOMINIUM,CAMBRIDGE E CONDOMINIUMS,"CAMBRIDGE E CONDOMINIUM ASSOCIATION, INC",DEERFIELD BEACH,33442,BROWARD,248822
3758,CONDOMINIUM,CAMBRIDGE E- STRUCTURAL SURVEY,"CAMBRIDGE E CONDOMINIUM ASSOCIATION, INC.",DEERFIELD BEACH,33442,BROWARD,248479
3759,CONDOMINIUM,"CAMBRIDGE F CONDOMINIUM ASSOCIATION, INC.","CAMBRIDGE F CONDOMINIUM ASSOCIATION, INC.",DEERFIELD BEACH,33442,BROWARD,238735
3760,CONDOMINIUM,CAMBRIDGE G CONDOMINIUM ASSOCIATION INC,"CAMBRIDGE G CONDOMINIUM ASSOCIATION, INC.",DEERFIELD BEACH,33442,BROWARD,238419
3761,CONDOMINIUM,"CAMBRIDGE G CONDOMINIUM ASSOCIATION, INC.",CAMBRIDGE G CONDOMINIUM ASSOCIATION,DEERFIELD BEACH,33442,BROWARD,250428
3762,CONDOMINIUM,CLEARWATER OF MEADOWLAKES,CLEARWATER OF MEADOWLAKES,DEERFIELD BEACH,33442,BROWARD,237793
3764,CONDOMINIUM,"DURHAM B CONDOMINIUM ASSOCIATION, INC.",DURHAM B CONDOMINIUM ASSOCIATION INC,DEERFIELD BEACH,33442,BROWARD,238251
3765,CONDOMINIUM,"ELLESMERE A CONDOMINIUM ASSOCIATION, INC.","ELLESMERE A CONDOMINIUM ASSOCIATION, INC.",DEERFIELD BEACH,33442,BROWARD,238744
3766,CONDOMINIUM,FARNHAM N SIRS,FARNHAM N CONDO ASSN,DEERFIELD BEACH,33442,BROWARD,250343
3767,CONDOMINIUM,FARNHAM N SIRS REPORT,FARNHAM N CONDO ASSOCIATION,DEERFIELD BEACH,33442,BROWARD,250429
3768,CONDOMINIUM,GRANTHAM A CONDOMINIUM ASSOCIATION,"GRANTHAM A CONDOMINIUM ASSOCIATION, INC.",DEERFIELD BEACH,33442,BROWARD,237710
3769,CONDOMINIUM,"GRANTHAM A CONDOMINIUM ASSOCIATION, INC.","GRANTHAM A CONDOMINIUM ASSOCIATION, INC.",DEERFIELD BEACH,33442,BROWARD,251687
3770,CONDOMINIUM,GRANTHAM B CONDO ASSN,GRANTHAM B,DEERFIELD BEACH,33442,BROWARD,251357
3772,CONDOMINIUM,GRANTHAM F CONDOMINIUM,GRANTHAM F CONDOMINIUM ASSOCIATION,DEERFIELD BEACH,33442,BROWARD,250317
3773,CONDOMINIUM,"GRANTHAM F CONDOMINIUM ASSOCIATION, INC.","GRANTHAM F CONDOMINIUM ASSOCIATION, INC.",DEERFIELD BEACH,33442,BROWARD,237360
3774,CONDOMINIUM,HARWOOD E,"HARWOOD E CONDOMINIUM, ASSOCIATION, INC.",DEERFIELD BEACH,33442,BROWARD,263012
3775,CONDOMINIUM,HARWOOF F 2085,HARWOOD F CONDOMINIUM ASSOCIATION,DEERFIELD BEACH,33442,BROWARD,238257
3776,CONDOMINIUM,ISLEWOOD D CONDOMINIUM,"ISLEWOOD D CONDOMINIUM ASSOCIATION, INC",DEERFIELD BEACH,33442,BROWARD,251366
3777,CONDOMINIUM,"ISLEWOOD D CONDOMINIUM ASSOCIATION, INC.","ISLEWOOD D CONDOMINIUM ASSOCIATION, INC.",DEERFIELD BEACH,33442,BROWARD,237371
3778,CONDOMINIUM,"KESWICK C CONDOMINIUM ASSOCIATION, INC","KESWICK C CONDOMINIUM ASSOCIATION, INC",DEERFIELD BEACH,33442,BROWARD,238776
3779,CONDOMINIUM,"LYNDHURST H CONDOMINIUM ASSOCIATION, INC.","LYNDHURST H CONDOMINIUM ASSOCIATION, INC.",DEERFIELD BEACH,33442,BROWARD,240317
3780,CONDOMINIUM,LYNDHURST J SIRS,LYNDHURST J CONDOMINIUM ASSOCIATION INC.,DEERFIELD BEACH,33442,BROWARD,238527
3781,CONDOMINIUM,LYNDHURST K CONDOMINIUM,LYNDHURST K CONDOMINIUM ASSOCIATION,DEERFIELD BEACH,33442,BROWARD,251549
3782,CONDOMINIUM,"LYNDHURST K CONDOMINIUM ASSOCIATION, INC.","LYNDHURST K CONDOMINIUM ASSOCIATION, INC.",DEERFIELD BEACH,33442,BROWARD,237377
3783,CONDOMINIUM,LYNDHURST N CONDOMINIUM,"LYNDHURST N CONDOMINIUM ASSOCIATION, INC",DEERFIELD BEACH,33442,BROWARD,251986
3784,CONDOMINIUM,"LYNDHURST N CONDOMINIUM ASSOCIATION, INC","LYNDHURST N CONDOMINIUM ASSOCIATION, INC",DEERFIELD BEACH,33442,BROWARD,237874
3785,CONDOMINIUM,"NEWPORT G CONDO ASSN, INC.","NEWPORT G CONDO ASSN, INC.",DEERFIELD BEACH,33442,BROWARD,250385
3786,CONDOMINIUM,"NEWPORT G CONDOMINIUM ASSOCIATION, INC","NEWPORT G CONDOMINIUM ASSOCIATION, INC.",DEERFIELD BEACH,33442,BROWARD,238483
3787,CONDOMINIUM,NEWPORT H,NEWPORT H CONDOMINIUM ASSOCIATION,DEERFIELD BEACH,33442,BROWARD,247915
3788,CONDOMINIUM,"NEWPORT H CONDO ASSN, INC.","NEWPORT H CONDO ASSN, INC.",DEERFIELD BEACH,33442,BROWARD,250362
3789,CONDOMINIUM,"NEWPORT H CONDOMINIUM ASSOCIATION, INC.","NEWPORT H CONDOMINIUM ASSOCIATION, INC.",DEERFIELD BEACH,33442,BROWARD,238554
3790,CONDOMINIUM,"NEWPORT N CONDO ASSN, INC.","NEWPORT N CONDO ASSN, INC.",DEERFIELD BEACH,33442,BROWARD,250354
3791,CONDOMINIUM,"NEWPORT N CONDOMINIUM ASSOCIATION, INC",NEWPORT N CONDOMINIUM ASSOCIATION INC,DEERFIELD BEACH,33442,BROWARD,238558
3792,CONDOMINIUM,NEWPORT Q CONDO ASSN INC.,NEWPORT Q CONDO ASSN INC.,DEERFIELD BEACH,33442,BROWARD,248741
3793,CONDOMINIUM,NEWPORT Q CONDOMINIUM ASSOCIATION INC,"NEWPORT Q CONDOMINIUM ASSOCIATION, INC.",DEERFIELD BEACH,33442,BROWARD,238561
3794,CONDOMINIUM,"NEWPORT S CONDO ASSN, INC.","NEWPORT S CONDOMINIUM ASSN, INC.",DEERFIELD BEACH,33442,BROWARD,250370
3795,CONDOMINIUM,"NEWPORT S CONDOMINIUM ASSOCIATION, INC","NEWPORT S CONDOMINIUM ASSOCIATION, INC.",DEERFIELD BEACH,33442,BROWARD,238498
3796,CONDOMINIUM,NEWPORT U CONDO,NEWPORT U CONDOMINIUM ASSOCIATION,DEERFIELD BEACH,33442,BROWARD,259720
3797,CONDOMINIUM,OAKRIDGE A,OAKRIDGE A CONDOMINIUM ASSOCIATION INC,DEERFIELD BEACH,33442,BROWARD,235484
3798,CONDOMINIUM,"OAKRIDGE F CONDOMINIUM ASSOCIATION, INC.","OAKRIDGE F CONDOMINIUM ASSOCIATION, INC.",DEERFIELD BEACH,33442,BROWARD,238755
3799,CONDOMINIUM,"OAKRIDGE U CONDOMINIUM ASSOCIATION, INC.","OAKRIDGE U CONDOMINIUM ASSOCIATION, INC.",DEERFIELD BEACH,33442,BROWARD,238745
3800,CONDOMINIUM,"OAKRIDGE V CONDO ASSN, INC.","OAKRIDGE V CONDO ASSN, INC.",DEERFIELD BEACH,33442,BROWARD,248456
